127.0.0.1 - - [01/Aug/2026 19:07:02] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2026 19:11:06] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2026 19:11:06] "GET /vendor/@mediapipe/camera_utils/camera_utils.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2026 19:11:06] "GET /vendor/@mediapipe/selfie_segmentation/selfie_segmentation.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2026 19:11:08] "GET /vendor/@mediapipe/selfie_segmentation/selfie_segmentation_solution_simd_wasm_bin.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2026 19:11:08] "GET /vendor/@mediapipe/selfie_segmentation/selfie_segmentation_landscape.tflite HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2026 19:11:08] "GET /vendor/@mediapipe/selfie_segmentation/selfie_segmentation.binarypb HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2026 19:11:08] "GET /vendor/@mediapipe/selfie_segmentation/selfie_segmentation_solution_simd_wasm_bin.wasm HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2026 19:13:49] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2026 19:13:49] "GET /vendor/@mediapipe/camera_utils/camera_utils.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2026 19:13:49] "GET /vendor/@mediapipe/selfie_segmentation/selfie_segmentation.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2026 19:13:50] "GET /vendor/@mediapipe/selfie_segmentation/selfie_segmentation_landscape.tflite HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2026 19:13:50] "GET /vendor/@mediapipe/selfie_segmentation/selfie_segmentation_solution_simd_wasm_bin.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2026 19:13:50] "GET /vendor/@mediapipe/selfie_segmentation/selfie_segmentation.binarypb HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2026 19:13:51] "GET /vendor/@mediapipe/selfie_segmentation/selfie_segmentation_solution_simd_wasm_bin.wasm HTTP/1.1" 200 -
